time,s,i,v,p_s,p_i,phi
35.800000,0.152355,0.021074,0.000000,5.513091,146.191257,1.160055
35.900000,0.152258,0.020959,0.000000,5.425011,145.506465,1.173997
36.000000,0.152163,0.020845,0.000000,5.337786,144.817935,1.187789
36.100000,0.152067,0.020732,0.000000,5.251412,144.125644,1.201432
36.200000,0.151973,0.020619,0.000000,5.165886,143.429570,1.214926
36.300000,0.151879,0.020507,0.000000,5.081203,142.729691,1.228273
36.400000,0.151785,0.020395,0.000000,4.997360,142.025983,1.241474
36.500000,0.151692,0.020284,0.000000,4.914354,141.318423,1.254529
36.600000,0.151600,0.020174,0.000000,4.832182,140.606988,1.267440
36.700000,0.151508,0.020064,0.000000,4.750838,139.891656,1.280208
36.800000,0.151417,0.019954,0.000000,4.670321,139.172402,1.292833
36.900000,0.151327,0.019845,0.000000,4.590627,138.449203,1.305316
37.000000,0.151236,0.019737,0.000000,4.511751,137.722036,1.317659
37.100000,0.151147,0.019629,0.000000,4.433691,136.990877,1.329861
37.200000,0.151058,0.019522,0.000000,4.356443,136.255701,1.341925
37.300000,0.150969,0.019415,0.000000,4.280004,135.516485,1.353850
37.400000,0.150882,0.019309,0.000000,4.204369,134.773204,1.365638
37.500000,0.150794,0.019203,0.000000,4.129536,134.025835,1.377290
37.600000,0.150707,0.019098,0.000000,4.055500,133.274352,1.388807
37.700000,0.150621,0.018994,0.000000,3.982260,132.518731,1.400188
37.800000,0.150535,0.018889,0.000000,3.909810,131.758947,1.411436
37.900000,0.150450,0.018786,0.000000,3.838147,130.994976,1.422552
38.000000,0.150365,0.018683,0.000000,3.767269,130.226791,1.433535
38.100000,0.150281,0.018580,0.000000,3.697171,129.454369,1.444387
38.200000,0.150197,0.018478,0.000000,3.627850,128.677682,1.455108
38.300000,0.150114,0.018377,0.000000,3.559303,127.896707,1.465700
38.400000,0.150031,0.018276,0.000000,3.491526,127.111417,1.476163
38.500000,0.149949,0.018175,0.000000,3.424516,126.321787,1.486498
38.600000,0.149867,0.018075,0.000000,3.358269,125.527790,1.496707
